Subject: 1 : 30 trade counts
trade date trade cnt
10 / 6 / 2001 17
10 / 7 / 2001 42
10 / 8 / 2001 4884
10 / 9 / 2001 4980
10 / 10 / 2001 5846
10 / 11 / 2001 5560
10 / 12 / 2001 5934
10 / 13 / 2001 16
10 / 14 / 2001 15
10 / 15 / 2001 5159
10 / 16 / 2001 6676
10 / 17 / 2001 7090
10 / 18 / 2001 7091
10 / 19 / 2001 7762
10 / 20 / 2001 3
10 / 21 / 2001 31
10 / 22 / 2001 7419
10 / 23 / 2001 8081
10 / 24 / 2001 6911
10 / 25 / 2001 8038
10 / 26 / 2001 6533
10 / 27 / 2001 11
10 / 28 / 2001 4
10 / 29 / 2001 6660
10 / 30 / 2001 5461
10 / 31 / 2001 6617
11 / 1 / 2001 6320
11 / 2 / 2001 5633
11 / 3 / 2001 42
11 / 4 / 2001 18
11 / 5 / 2001 6101
