Subject: trade counts - nov 12
4 : 00 pm trade count
trade date trade cnt
11 / 12 / 2001 4780
11 / 11 / 2001 39
11 / 10 / 2001 30
11 / 9 / 2001 3659
11 / 8 / 2001 4393
11 / 7 / 2001 6141
11 / 6 / 2001 6283
11 / 5 / 2001 6518
11 / 4 / 2001 37
11 / 3 / 2001 59
11 / 2 / 2001 5853
11 / 1 / 2001 6575
10 / 31 / 2001 7139
10 / 30 / 2001 5761
10 / 29 / 2001 7151
10 / 28 / 2001 8
10 / 27 / 2001 12
10 / 26 / 2001 6792
10 / 25 / 2001 8401
10 / 24 / 2001 7998
10 / 23 / 2001 8565
10 / 22 / 2001 7916
10 / 21 / 2001 34
10 / 20 / 2001 4
10 / 19 / 2001 7988
10 / 18 / 2001 7653
10 / 17 / 2001 7424
10 / 16 / 2001 7155
10 / 15 / 2001 5428
10 / 14 / 2001 19
10 / 13 / 2001 16
10 / 12 / 2001 6107
10 / 11 / 2001 5950
10 / 10 / 2001 6260
10 / 9 / 2001 5279
10 / 8 / 2001 5117
10 / 7 / 2001 53
10 / 6 / 2001 17
10 / 5 / 2001 5854
10 / 4 / 2001 6487
10 / 3 / 2001 5951
10 / 2 / 2001 5404
10 / 1 / 2001 5245
trade count by counterparty :
