Subject: trade counts - us power and gas breakout
trade counts by 8 : 40 am :
trade date na gas na power total trade cnt
11 / 13 / 2001 1009 552 2131
11 / 12 / 2001 1126 430 2269
11 / 11 / 2001 7 2 9
11 / 10 / 2001 5 8 13
11 / 9 / 2001 744 461 1831
11 / 8 / 2001 1085 503 2086
11 / 7 / 2001 1111 800 2605
11 / 6 / 2001 1289 908 2763
11 / 5 / 2001 1155 888 2594
11 / 4 / 2001 4 3 7
11 / 3 / 2001 2 16 18
11 / 2 / 2001 1441 629 2547
11 / 1 / 2001 1308 813 2806
10 / 31 / 2001 1258 888 2641
10 / 30 / 2001 1175 634 2284
10 / 29 / 2001 1360 706 2560
10 / 27 / 2001 7 0 7
10 / 26 / 2001 1237 826 2661
10 / 25 / 2001 1781 944 3194
10 / 24 / 2001 1433 562 2556
10 / 23 / 2001 1505 686 2917
10 / 22 / 2001 1195 819 2676
10 / 21 / 2001 16 0 16
10 / 20 / 2001 1 0 1
10 / 19 / 2001 1548 751 2997
10 / 18 / 2001 1124 738 2560
10 / 17 / 2001 1260 736 2638
10 / 16 / 2001 1060 721 2403
10 / 15 / 2001 825 641 1967
10 / 14 / 2001 3 5 9
10 / 13 / 2001 3 6 9
10 / 12 / 2001 1145 637 2300
10 / 11 / 2001 998 694 2208
10 / 10 / 2001 900 637 2047
10 / 9 / 2001 849 671 2047
10 / 8 / 2001 863 575 2029
10 / 7 / 2001 3 0 3
10 / 6 / 2001 4 2 6
10 / 5 / 2001 973 694 2151
10 / 4 / 2001 1308 821 2666
10 / 3 / 2001 1281 695 2332
10 / 2 / 2001 875 677 1936
10 / 1 / 2001 1090 633 2190
